00-Instance,value,All,runtime,All,num_branches,All,deg1Time,All,domTime,All,fold2Time,All,lpTime,All,twinTime,All,deskTime,All,unconfinedTime,All,funnelTime,All,packingTime,All,deg1Counts,All,domCounts,All,fold2Counts,All,lpCounts,All,twinCounts,All,deskCounts,All,diamondCounts,All,unconfinedCounts,All,funnelCounts,All,packingCounts,All,deg1Calls,All,domCalls,All,fold2Calls,All,lpCalls,All,twinCalls,All,deskCalls,All,unconfinedCalls,All,funnelCalls,All,packingCalls,All,deg1AllCalls,All,domAllCalls,All,fold2AllCalls,All,lpAllCalls,All,twinAllCalls,All,deskAllCalls,All,unconfinedAllCalls,All,funnelAllCalls,All,packingAllCalls,All,trivialCount,All,cliqueCount,All,lpCount,All,cycleCount,All,cliqueTime,All,cycleTime,All,num_leftcuts,All,root_lb,All,Options,All
octagon_with_tails,,5,,0.001,,1,,0.018,,0.000,,0.001,,0.008,,0.001,,0.001,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,5,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
p1,,1,,0.001,,1,,0.013,,0.000,,0.001,,0.007,,0.001,,0.001,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,1,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
p2,,1,,0.002,,1,,0.022,,0.000,,0.001,,0.012,,0.001,,0.001,,0.001,,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,1,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
p3,,2,,0.002,,1,,0.016,,0.000,,0.001,,0.009,,0.001,,0.001,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,2,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
p4,,2,,0.002,,1,,0.027,,0.000,,0.001,,0.008,,0.001,,0.001,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,2,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
p5,,3,,0.001,,1,,0.017,,0.000,,0.001,,0.008,,0.001,,0.001,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,3,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
pentagon_with_tails,,4,,0.001,,1,,0.017,,0.000,,0.004,,0.008,,0.001,,0.001,,0.000,,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,1,,0,,0,,0,,0,,0,,0,,2,,0,,2,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,4,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
r_10_25_1,,7,,0.003,,1,,0.030,,0.031,,0.508,,0.013,,0.013,,0.039,,0.001,,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,0,,0,,0,,0,,0,,0,,3,,1,,3,,1,,2,,2,,1,,1,,0,,,,,,0,,,,,,,,0,,7,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
r_20_80_1,,14,,0.004,,1,,0.024,,0.122,,0.300,,0.024,,0.021,,0.020,,0.254,,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,2,,0,,1,,0,,0,,0,,2,,0,,0,,4,,2,,4,,1,,3,,3,,3,,1,,0,,,,,,0,,,,,,,,0,,14,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
r_25_75_1,,16,,0.004,,1,,0.049,,2.182,,0.378,,0.039,,0.036,,0.076,,0.213,,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,3,,2,,2,,0,,0,,0,,2,,0,,0,,7,,4,,7,,1,,5,,5,,3,,1,,0,,,,,,0,,,,,,,,0,,16,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
r_64_256_1,,43,,0.052,,68,,0.384,,2.022,,3.989,,10.246,,1.493,,5.528,,10.869,,7.259,,0.000,,,,,,,,,,,,,,,,,,,,,,2,,0,,81,,27,,3,,0,,52,,15,,0,,32,,28,,246,,110,,165,,162,,162,,83,,0,,,,,,124,,,,,,,,1,,37,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
shortfunnel,,5,,0.002,,1,,0.015,,0.000,,0.307,,0.078,,0.008,,0.086,,0.001,,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,,0,,0,,1,,0,,0,,0,,3,,0,,3,,1,,2,,2,,1,,1,,0,,,,,,0,,,,,,,,0,,5,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
small_even_cycle,,3,,0.002,,1,,0.019,,0.000,,0.399,,0.008,,0.001,,0.001,,0.001,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,1,,0,,0,,0,,0,,0,,0,,2,,0,,2,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,3,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
small_odd_cycle,,3,,0.002,,1,,0.005,,0.000,,0.310,,0.009,,0.001,,0.001,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,,0,,0,,0,,0,,0,,0,,2,,0,,2,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,3,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
square,,2,,0.002,,1,,0.015,,0.000,,0.279,,0.009,,0.001,,0.001,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,1,,0,,0,,0,,0,,0,,0,,2,,0,,2,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,2,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
star5,,1,,0.001,,1,,0.016,,0.000,,0.001,,0.008,,0.001,,0.001,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,1,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
triangle,,2,,0.002,,1,,0.005,,0.000,,0.009,,0.009,,0.001,,0.001,,0.001,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,,0,,0,,0,,0,,0,,0,,2,,0,,2,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,2,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
