00-Instance,value,All,Cheap,runtime,All,Cheap,num_branches,All,Cheap,deg1Time,All,Cheap,domTime,All,Cheap,fold2Time,All,Cheap,lpTime,All,Cheap,twinTime,All,Cheap,deskTime,All,Cheap,unconfinedTime,All,Cheap,funnelTime,All,Cheap,packingTime,All,Cheap,deg1Counts,All,Cheap,domCounts,All,Cheap,fold2Counts,All,Cheap,lpCounts,All,Cheap,twinCounts,All,Cheap,deskCounts,All,Cheap,diamondCounts,All,Cheap,unconfinedCounts,All,Cheap,funnelCounts,All,Cheap,packingCounts,All,Cheap,deg1Calls,All,Cheap,domCalls,All,Cheap,fold2Calls,All,Cheap,lpCalls,All,Cheap,twinCalls,All,Cheap,deskCalls,All,Cheap,unconfinedCalls,All,Cheap,funnelCalls,All,Cheap,packingCalls,All,Cheap,deg1AllCalls,All,Cheap,domAllCalls,All,Cheap,fold2AllCalls,All,Cheap,lpAllCalls,All,Cheap,twinAllCalls,All,Cheap,deskAllCalls,All,Cheap,unconfinedAllCalls,All,Cheap,funnelAllCalls,All,Cheap,packingAllCalls,All,Cheap,trivialCount,All,Cheap,cliqueCount,All,Cheap,lpCount,All,Cheap,cycleCount,All,Cheap,cliqueTime,All,Cheap,cycleTime,All,Cheap,num_leftcuts,All,Cheap,root_lb,All,Cheap,Options,All,Cheap
aa20-cl-7,,259,259,,2.032,0.808,,2201,3403,,33.470,38.978,,134.548,0.000,,157.880,127.210,,469.915,0.000,,190.115,44.445,,127.346,93.455,,265.652,0.000,,225.475,0.000,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583,1775,,495,0,,4833,4715,,258,0,,69,47,,662,684,,1484,0,,603,0,,0,0,,9235,8905,,3582,0,,10607,8852,,3064,0,,5774,4137,,5705,4090,,4548,0,,2806,0,,0,0,,,,,,,,1665,0,,,,,,,,,,,0,0,,239,236,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t60:--show_solution,:--deg1:--fold2:--desk:--twin:--clique_lb:-t60:--show_solution
aa46-ba-7,,206,206,,60.000,60.000,,304153,926027,,2041.290,3893.229,,3587.789,0.000,,5030.323,9986.044,,9244.278,0.000,,4528.215,7002.784,,8576.654,14148.144,,7630.283,0.000,,7090.503,0.000,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191910,438126,,36851,0,,600317,1403247,,6482,0,,5336,7854,,57847,137966,,116540,0,,132562,0,,0,0,,1315305,2697610,,539582,0,,1260031,2475227,,443140,0,,659714,1071980,,654378,1064126,,559680,0,,436658,0,,0,0,,,,,,,,51918,0,,,,,,,,,,,0,0,,171,171,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t60:--show_solution,:--deg1:--fold2:--desk:--twin:--clique_lb:-t60:--show_solution
blg-00200_010_01_05D00020_02,,135,135,,16.159,11.731,,82757,145588,,210.879,366.344,,613.072,0.000,,1437.976,1907.833,,3662.674,0.000,,906.075,1601.711,,2102.604,3431.802,,2579.852,0.000,,2128.947,0.000,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13146,28705,,3921,0,,139394,170448,,22179,0,,1582,883,,1995,1917,,59528,0,,35523,0,,0,0,,135993,223691,,74582,0,,346879,319536,,140459,0,,207485,149088,,205903,148205,,199987,0,,118280,0,,0,0,,,,,,,,126150,0,,,,,,,,,,,0,3,,107,107,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t60:--show_solution,:--deg1:--fold2:--desk:--twin:--clique_lb:-t60:--show_solution
blg-00250_050_40_05D00249_xx,,160,160,,36.095,30.847,,214537,567782,,1051.744,1707.093,,1963.151,0.000,,2687.656,4787.190,,6114.224,0.000,,2659.109,3063.790,,5174.373,7651.466,,4131.171,0.000,,5139.404,0.000,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76745,141934,,16826,0,,301296,682422,,2167,0,,2170,3293,,6175,15912,,54105,0,,96271,0,,0,0,,739740,1430318,,357620,0,,693522,1269436,,312950,0,,392226,587014,,390056,583721,,367055,0,,310783,0,,0,0,,,,,,,,14070,0,,,,,,,,,,,0,1,,138,131,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t60:--show_solution,:--deg1:--fold2:--desk:--twin:--clique_lb:-t60:--show_solution
j20-ba-7,,282,282,,46.042,46.760,,217864,677791,,1640.508,3322.553,,2448.074,0.000,,3829.665,7968.012,,6490.936,0.000,,2921.847,4782.776,,7023.132,12427.589,,6986.724,0.000,,6125.790,0.000,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159028,413355,,27945,0,,477265,1163389,,996,0,,5864,11346,,61706,150966,,83926,0,,94022,0,,0,0,,1056656,2244050,,397395,0,,969449,2003173,,312743,0,,492184,839784,,486320,828438,,396669,0,,311747,0,,0,0,,,,,,,,12247,0,,,,,,,,,,,1,2,,245,243,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t60:--show_solution,:--deg1:--fold2:--desk:--twin:--clique_lb:-t60:--show_solution
